run_id,lambda_x,lambda_y,lambda_z,stable,all_strong
69,122.91902428623945,-250.26749090537493,-27.852706319815688,False,False
70,201.5679015400716,-249.44402038956756,-163.0565812391068,False,False
71,117.6538147564385,-190.90484052578105,-10.497571735130329,False,False
72,147.4594925580254,-153.5819563432297,-41.045774165716274,False,False
73,161.46691341488653,-177.59483329133903,-32.59211026044373,False,False
74,188.11908496182664,-229.6888463752214,-16.63637267358277,False,False
75,137.29507525614872,-221.68599607839616,-37.48956094323084,False,False
76,108.25885531375329,-243.40123116158557,-4.076241869450868,False,False
77,180.15749000976024,-189.6137262738062,-55.995970786117795,False,False
78,119.08979701860997,-175.96588303488605,-34.19213253504838,False,False
79,157.747622683605,-206.86034493600113,-56.57503121009937,False,False
80,151.5770626992123,-290.8502117672213,-9.378753739699349,False,False
81,153.20853548115616,-265.38093392411463,-74.54711227480847,False,False
82,159.70682888131395,-221.34939626645635,-17.182249359555335,False,False
83,144.55588475123855,-268.5842670301356,-63.22422053169436,False,False
84,196.7981194583292,-301.1116739643626,-111.4599421185748,False,False
85,180.91713125192615,-219.9456202167455,5.993659833029822,False,False
86,128.6667763965232,-204.93675575065313,-10.367901697658366,False,False
87,139.01901868139572,-233.99704433779343,-9.962085598340355,False,False
88,119.77583633021338,-206.43242930998065,-7.854375453324323,False,False
89,112.65468214068916,-169.98578652285906,-22.288231407360648,False,False
90,202.11060394588853,-213.723940093417,-91.83155909919248,False,False
91,179.21446690424924,-203.43998886768117,-19.883225874679503,False,False
92,136.05644354838483,-222.77720104540123,-47.04825656580792,False,False
93,97.9579396444916,-254.04666254038932,-8.28680922080518,False,False
94,146.87065663981448,-209.15044713355215,-56.19899774632678,False,False
95,169.43204163980982,-227.8936171998299,-30.787474707014972,False,False
96,183.7964238887163,-289.90044470337193,56.383604610030886,False,False
97,168.40900240533873,-183.73475712774817,-29.612703218038686,False,False
98,166.1099552387705,-268.9646371359211,-71.81822620080858,False,False
99,149.9011326297508,-264.5267570679805,-51.296500368719805,False,False
100,109.5326254883597,-227.47448539677802,-39.14372282447395,False,False
