P,C_m,B,alpha,F,beta,W_m,I,R_c,C_c,gamma,R_p,C_p,run_id,mean_seller_p1,std_seller_p1,mean_customer_p1,std_customer_p1,mean_ecommerce_p1,std_ecommerce_p1,mean_distance,std_distance,cluster
263.2741630077362,155.90487495064735,14.877079799771307,0.7057736106216908,115.9224407747388,0.7489796191453935,25.916965007781982,19.706639871001244,134.4948649406433,10.169521272182465,0.4871412277221679,24.175665825605392,80.02554923295975,46,0.9999966382980346,2.1986278311535843e-06,0.9999999284744264,9.5367431640625e-08,7.64125939895166e-05,3.687365869367763e-05,7.650147599633784e-05,3.690832701756343e-05,3
262.75672912597656,76.21594220399857,10.012215822935104,0.83560761064291,193.3972105383873,0.7399482250213624,80.35732507705688,36.88771411776543,129.80684638023376,27.53243699669838,0.3700839221477509,24.971556216478348,72.45950028300285,48,0.999996018409729,3.638208146317051e-06,0.9999999284744264,5.8400386399821724e-08,0.0001612290172488,9.301970655583792e-05,0.0001613644271856,9.294127504482836e-05,0
137.58851885795593,56.06866329908371,10.281483680009842,0.9358766824007034,55.210450291633606,0.7261990368366242,22.23186492919922,34.061190858483315,182.28835463523865,12.05430582165718,0.7249496430158615,29.51794296503067,71.2356847524643,50,0.9992466807365418,0.0005550620843237,0.9999998092651368,1.784161275279017e-07,8.384124885196798e-05,5.860328255152566e-05,0.0007603408506838,0.0005549138592512,1
274.6080696582794,106.08544647693634,17.9556667804718,0.5056680142879486,182.2994098067284,0.7409369617700577,35.668630599975586,23.91592066735029,167.89043247699738,18.98924700915813,0.415136432647705,28.91687035560608,90.48335075378418,52,0.9999995708465576,3.814697265625e-07,0.999999737739563,2.86102294921875e-07,6.773402637918479e-05,2.5198107203993107e-05,6.773854693165049e-05,2.5195478991818335e-05,0
291.0068988800049,55.72009682655335,9.94675226509571,0.5498154759407043,159.879432618618,0.5044411659240723,94.34478998184204,7.390729337930679,225.63194334506989,23.88778731226921,0.87330020070076,27.619076818227768,65.80792367458344,53,0.9999995470046996,4.610795880750112e-07,0.999999976158142,4.7683715820312496e-08,6.943618063814938e-05,2.966880981342322e-05,6.944046181160957e-05,2.966587873558285e-05,6
131.01824522018433,59.101392328739166,10.679624862968922,0.5149108022451401,123.4838243573904,0.3142972111701966,88.55668067932129,46.57645791769028,276.1156380176544,11.193554401397703,0.635679978132248,29.59607794880867,37.02730864286423,55,0.99999897480011,9.003261369943241e-07,1.0,0.0,0.0001634981479583,9.584789572321104e-05,0.0001635214171983,9.581790687595504e-05,4
285.1889908313751,119.79279238730668,9.755893871188164,0.6524310633540154,169.92491334676745,0.7300101220607758,65.8976149559021,45.48281133174896,198.74128066003323,21.847334802150726,0.5345359593629837,27.595243901014328,76.26705691218376,57,0.9999996662139892,1.39020726557858e-07,0.9999999284744264,5.840038639982172e-08,6.753067355020903e-05,3.741286353365528e-05,6.753223424311727e-05,3.741191460714271e-05,0
218.238328397274,57.741954922676086,17.815335392951965,0.5175808817148209,175.9913593530655,0.1898071706295013,95.67867517471312,49.189042150974274,124.04656410217284,27.004960477352142,0.5688728414475919,27.873330116271973,69.59018170833588,60,0.9999976396560668,4.368593532056706e-06,0.9999996423721312,4.197792258658173e-07,0.0001800585021555,0.0001469613755303,0.000180186965008,0.000146888833065,0
265.6432807445526,144.28227320313454,18.17604824900627,0.5185998976230621,128.26516423374414,0.7693169713020325,46.080615520477295,24.83656208962202,278.25913429260254,22.673883959650997,0.8667204022407533,25.62743157148361,79.66109603643417,63,0.9999995470046996,4.017901312435322e-07,0.9999996185302734,5.190739883679686e-07,0.0001312258194957,9.650978184871556e-05,0.0001312351654632,9.650111921111098e-05,6
253.06590795516968,88.7628085911274,6.423675417900085,0.6321088746190071,160.8866088092327,0.6545938432216645,59.50434844940901,45.06091192364693,269.03324127197266,6.78462490439415,0.4749127238988876,25.85682526230812,30.20470768213272,64,0.999999713897705,2.45466950916934e-07,1.0,0.0,0.0002979985554702,0.0001327284142708,0.0002979988203151,0.0001327283497683,4
243.16985309123996,95.49554213881493,11.27223525196314,0.5535230040550232,176.264850795269,0.4628145912662149,43.60633373260498,8.863355964422226,226.3492912054062,20.18107689917088,0.8170596063137054,27.46015816926956,88.60712677240372,65,0.9999977588653564,1.1218347888964262e-06,0.9999998807907104,1.3058723390225558e-07,9.78718169790227e-05,5.455570574169047e-05,9.791714255698024e-05,5.453221980478772e-05,6
290.02647399902344,104.24877479672432,6.798355430364609,0.7841598689556122,126.44902151077986,0.26188323199749,73.1345534324646,25.21547708660364,124.74128007888794,11.294291839003565,0.8309216916561128,26.121006458997726,96.340833902359,72,0.9999882221221924,9.214623621675676e-06,0.9999995946884156,6.468133910298604e-07,8.92157266207505e-05,5.0820967854674e-05,9.107160985877272e-05,4.97231148577836e-05,0
136.60792112350464,62.815724313259125,11.378779411315918,0.7682276722043753,155.72183430194855,0.3306807845830918,92.62380361557008,27.62353123165667,112.88169622421265,25.58067172765732,0.5301328361034394,25.103082060813904,75.93409553170204,78,0.9999978303909302,2.207658201154717e-06,0.9999997854232788,1.39020726557858e-07,0.0001724649162497,8.380704475157936e-05,0.0001725008987705,8.37905356231578e-05,5
185.3831917047501,66.75633192062378,17.064171135425568,0.7817493677139282,154.6497978270054,0.4954344041645527,53.022061586380005,33.25460366904736,253.16221714019773,29.2159940302372,0.5962947615422309,24.897165149450306,96.39735341072084,79,0.9999969244003296,2.489619728509257e-06,1.0,0.0,8.653141085233074e-05,9.176557117998014e-05,8.660394487378654e-05,9.178245944448312e-05,5
167.85337030887604,81.69252127408981,6.880984008312225,0.6222346276044846,120.40532259270547,0.5668816700577737,75.9364926815033,19.28089216351509,288.3022665977478,28.074080049991608,0.6903174430131913,27.469066083431244,95.48313051462172,81,0.9999994039535522,6.397441799640054e-07,0.999999976158142,4.7683715820312496e-08,0.0001080014946637,6.868090615701172e-05,0.0001080055160855,6.86801627739318e-05,5
255.30405044555664,53.066833317279816,16.491084545850754,0.5445858687162399,56.444963812828064,0.755962547659874,91.20216369628906,9.784953594207764,150.620236992836,27.83790558576584,0.4527638912200927,29.25018697977066,51.41146082431078,85,0.99999897480011,1.4670009673037682e-06,0.999999976158142,4.7683715820312496e-08,6.594961305381731e-05,1.987634789384815e-05,6.598334439331666e-05,1.984502589955575e-05,2
