P,C_m,B,alpha,F,beta,W_m,I,R_c,C_c,gamma,R_p,C_p,run_id,mean_seller_p1,std_seller_p1,mean_customer_p1,std_customer_p1,mean_ecommerce_p1,std_ecommerce_p1,mean_distance,std_distance
109.77151393890381,120.03267463296652,14.771399646997452,0.8911079913377762,84.27302986383438,0.11607715785503388,27.919232845306396,44.79742646217346,176.17308646440506,16.75155839882791,0.42704390287399296,26.461426466703415,96.09974086284637,46,1.8752644518826855e-05,2.5244096593747487e-05,0.9999966144561767,2.3512955829504266e-06,5.570133071159944e-05,2.1669602158668355e-05,6.294288359640632e-05,2.482579345110116e-05
134.2542827129364,196.4533507823944,13.843866847455502,0.9762348085641861,98.10667932033539,0.1343290776014328,34.7839617729187,45.40828749537468,159.78586673736572,20.028143674135208,0.4297111809253693,28.510997742414474,85.26753783226013,47,2.4070245694929325e-05,2.0541793899915445e-05,0.9999921083450317,8.551685921570316e-06,9.827199828578159e-05,6.012225868855671e-05,0.00010483899677637964,5.8460314346800434e-05
120.08277773857117,158.76419693231583,19.107457399368286,0.9279321283102036,133.0190259963274,0.1559054642915726,31.281187534332275,13.683480024337769,221.66836559772491,13.011076599359512,0.6156931065022946,17.480182592116762,82.46759593486786,48,3.621515006670961e-05,2.6701979192845813e-05,0.9999998569488525,1.1680077279964342e-07,0.0006934584263944999,0.0005902841475066149,0.0006949483446078375,0.0005902468528012738
124.67088103294373,174.08984303474426,17.710977345705032,0.9124647080898285,78.46909612417221,0.1917713761329651,44.21878099441528,24.899754598736763,169.37742233276367,14.523769095540047,0.4383828163146973,17.1330295689404,59.36522778123617,49,3.845337851089425e-05,1.8534165850915262e-05,0.9999960660934448,3.1340936136541337e-06,0.00022897333692526445,8.657128300095132e-05,0.00023276450083358212,8.712942382381803e-05
118.77185106277466,194.47119385004044,12.964834198355675,0.9298659712076187,123.1529688462615,0.12013539075851441,44.380422830581665,18.566695675253868,176.31457149982452,25.23153379559517,0.6521824702620507,20.218009054660797,91.4273676276207,50,0.00013520402626454597,0.00013417311829258392,0.9999994277954102,5.080050409474973e-07,0.0003096926120633725,0.0002179650701321204,0.0003726816241396591,0.0002020144548640936
141.48904085159302,183.37156027555466,9.170641005039215,0.8145164400339127,79.66066300868988,0.19097571372985842,35.3481125831604,48.09383183717728,208.4216147661209,11.166663020849228,0.6402904853224755,24.07847821712494,70.26358783245087,51,0.00014548653514339093,0.0002338691865119607,0.9999993324279786,4.498472753551771e-07,0.00026018537864729295,0.000274742656400353,0.0003065540815441636,0.00035364717596639695
164.25377428531647,194.21985298395157,8.006678521633148,0.965544581413269,95.68941444158554,0.1105050802230835,29.365930557250977,26.536257658153772,221.08116894960403,24.00680959224701,0.4776322066783905,17.425818061456084,92.86561638116837,52,1.8943544105809452e-06,2.87484476283244e-06,0.9999978542327881,2.354194838777959e-06,0.0002524979936424643,0.00010394815434629138,0.0002525441785110161,0.00010394177132699598
124.60764050483704,177.7385637164116,15.993279069662094,0.9143218398094177,99.8573862016201,0.14271027743816378,21.2530517578125,13.095950186252594,190.76736643910408,11.59264288842678,0.49401277005672456,22.115439102053642,88.87347012758255,53,8.178609346032317e-06,7.916203528156277e-06,0.9999995231628418,7.27078947161527e-07,0.00011422633688198402,3.3278668673525745e-05,0.00011471437028376386,3.355667872837989e-05
224.89233314990997,175.431390106678,10.509607121348381,0.9053691327571869,69.3860724568367,0.1020738959312439,56.13087683916092,40.494202971458435,171.67981266975403,17.11829639505595,0.5830450247973205,18.61294873058796,68.5421071946621,54,1.3026525425630098e-05,1.2645663456864524e-05,0.9999998092651368,1.430511474609375e-07,0.00022973547747824342,8.532459716943192e-05,0.000230371649377048,8.554088276624306e-05
175.79791396856308,198.68686199188232,8.925814107060432,0.9341917783021927,67.47949570417404,0.1509064555168152,22.645893096923828,32.73539640009403,164.99366164207458,19.60816040635109,0.7131657868623734,22.799844592809677,89.26357328891754,55,1.0245544240783389e-07,1.1340073259915715e-07,0.9999999523162841,5.840038639982172e-08,0.00011528676768648438,5.7386151347000466e-05,0.00011528691320563666,5.7386110201456083e-05
166.33471846580505,188.36537301540375,8.113679438829422,0.9518757611513138,111.49764470756054,0.2783525675535202,41.952329874038696,16.684704273939133,148.3385682106018,20.291330218315125,0.5427024364471436,24.32932808995247,75.13578698039055,56,2.6684447061597893e-05,2.0233213865871994e-05,0.9999972343444824,2.502145909680208e-06,0.00026524512759351637,0.0001888523426320744,0.0002666780961590121,0.000189837657984134
163.79470825195312,195.42366415262222,15.081377401947975,0.9796677827835083,58.01422595977783,0.13221719264984133,28.476989269256592,28.032018882222474,182.9135537147522,11.951751559972763,0.6064756080508232,27.38357663154602,41.74160212278366,57,5.1408856673873515e-06,6.224219515433198e-06,0.999998927116394,8.856857119086604e-07,0.0001423521818651352,0.00010163812007019502,0.0001428385636245366,0.0001012852478108327
169.4068431854248,198.92759025096893,16.155172288417816,0.972201868891716,91.23878926038742,0.15674316287040713,24.939980506896973,26.391203375533223,206.8614512681961,17.64999333070591,0.5962705872952938,17.366507831029594,87.07885771989822,58,1.0103340287059836e-06,7.473955317549164e-07,0.9999975204467774,3.337349171361415e-06,0.0002343926389585249,0.00011459086587257165,0.00023442434176104143,0.00011460834562635194
146.57684564590454,194.11365538835526,14.531478732824326,0.9374821186065674,91.07437208294868,0.2501327127218247,34.2940878868103,27.61376323411241,240.46112596988678,11.771960109472275,0.4382255852222443,24.289635866880417,74.34840708971024,59,4.466895093173662e-05,2.2885445697338975e-05,0.999998950958252,1.0673060076522535e-06,0.0001356414970359765,4.976824987227458e-05,0.00014327528260764665,5.356291137436227e-05
120.88130116462708,193.67289692163467,14.213760010898113,0.965122252702713,134.4050820916891,0.2079274117946625,29.441118240356445,14.717376381158829,161.66304349899292,16.317588295787573,0.5365784391760826,11.936679780483246,91.04600310325623,60,0.00016115416400452887,0.0001827801439026849,0.9999971151351928,3.401456963556773e-06,0.0011197505868040026,0.0006435390966064603,0.001135011517908424,0.0006626703996317088
124.43819642066956,196.4498057961464,8.513751924037933,0.9810911417007446,126.31191327236593,0.14646649658679964,36.27610683441162,16.078653782606125,247.09373116493225,8.246084600687027,0.4936441630125046,20.62938652932644,75.7663743197918,61,0.00011419963281014133,8.581130204196405e-05,0.9999991893768311,1.223623983417162e-06,0.00037099668988958,0.00013897954021760905,0.0003979298722697422,0.00013788750685528835
112.33900785446167,126.2464506085962,8.155624270439148,0.9868669658899307,63.64966332912445,0.14084213972091675,25.070362091064453,32.10604254156351,149.19478297233582,16.6293765604496,0.472315514087677,20.59366788715124,79.48035806417465,62,1.8157338132596124e-05,2.165803523051997e-05,0.999990701675415,9.47335155567678e-06,8.287911005027127e-05,3.935150830274138e-05,8.753981528570875e-05,4.1584036136434584e-05
150.3919392824173,186.63591146469116,10.221721157431602,0.9707393646240234,77.66125947237015,0.29970126003026965,61.190564408898354,21.093538403511047,202.1062906831503,25.229844748973846,0.38184202909469606,22.26127862930298,83.65195482969284,63,0.00033816864161053675,0.0002373781951745522,0.9999890327453613,1.0376550679592065e-05,0.00018513727991376072,0.00012358461507625494,0.00039697618776699526,0.00025078529264803813
239.34762477874756,153.62420603632927,9.687040224671364,0.9443546384572983,140.18882997334003,0.4409141055308283,41.62348985671997,43.54431852698326,257.86505937576294,13.279892802238464,0.6137394916266203,20.55028948932886,91.97760939598083,64,0.20168829160975293,0.3974823931457771,0.9999999284744263,9.536743164062499e-08,0.0002062793748336844,0.00016725142780532352,0.20169923049397767,0.39747692749404034
208.67893025279045,195.5047070980072,10.800587348639965,0.8883917927742004,85.77425330877304,0.1409022003412247,36.797547340393066,48.88403609395027,251.41360759735107,7.826884388923645,0.6838811695575715,21.897541284561157,79.64332640171051,65,1.0212688624733347e-05,8.242437049700326e-06,0.9999994754791259,5.468056173887117e-07,0.0001948269287822768,0.00011037935807624983,0.0001957773303729482,0.00010947686469214083
227.5497943162918,172.01034873723984,6.671266108751297,0.8772710114717484,115.29401428997517,0.1356405854225159,45.20367741584778,14.747087210416794,242.3875868320465,25.65287157893181,0.8652670919895173,26.24132663011551,82.40517288446426,66,8.423158151344978e-05,7.390717136262237e-05,0.9999998092651368,1.430511474609375e-07,0.00013944140519015492,8.490228783651746e-05,0.00018838978721760213,6.098261478125701e-05
126.8140971660614,188.4534701704979,12.516265348531306,0.9698986411094666,112.98393495380878,0.191099026799202,23.083457946777344,28.33490419201553,182.10631012916565,21.33867956697941,0.5614754050970078,24.525443017482758,90.10732918977737,67,1.645750630814291e-05,1.2148237103294668e-05,0.9999998331069946,1.2157009872419322e-07,6.546183685713913e-05,5.047029617601431e-05,7.165217575675343e-05,4.601021863226026e-05
120.80528140068054,182.40719437599182,9.606400057673454,0.9110286235809326,83.4963247179985,0.14668571054935456,34.5009183883667,11.424534320831299,172.92071878910065,25.227281749248505,0.7491245090961457,26.586064994335175,56.50949275121093,68,7.206510299511138e-05,0.00012284245372094763,0.9999998331069946,1.6170334775746508e-07,0.0002214308056863956,0.00016912284587779672,0.0002508646539354231,0.00018704216165811244
148.39678406715393,167.59293377399445,12.43861879920587,0.8629098683595657,93.79077032208443,0.15478283762931824,21.891770362854004,46.10035374760628,276.65120363235474,15.524866543710232,0.6755466967821122,24.32061016559601,67.8184150159359,69,4.924579312159949e-06,4.968172840040376e-06,0.999999713897705,2.2110029448260554e-07,0.0002454025816405192,9.458017674084266e-05,0.0002455601788824424,9.443038211299506e-05
